NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
308.5,975128,910115,838798,1226664,893117,968765,68046,
309.5,949896,913878,849252,1237759,878649,965887,70032,
310.5,925079,917203,861204,1249316,864930,963546,72626,
311.5,900722,919963,874644,1261394,851933,961731,75797,
312.5,876863,922042,889555,1274054,839631,960429,79509,
313.5,853537,923329,905918,1287353,827995,959627,83722,
314.5,830773,923723,923704,1301349,816998,959310,88402,
315.5,808599,923134,942880,1316094,806610,959463,93516,
316.5,787035,921482,963401,1331639,796802,960072,99036,
317.5,766101,918703,985213,1348031,787547,961119,104938,
318.5,745812,914745,1008249,1365312,778814,962586,111204,
319.5,726178,909570,1032429,1383518,770575,964454,117816,
320.5,707207,903157,1057659,1402679,762803,966701,124760,
321.5,688906,895498,1083829,1422818,755469,969304,132020,
322.5,671277,886602,1110810,1443951,748547,972237,139582,
323.5,654320,876491,1138457,1466082,742009,975472,147429,
324.5,638032,865203,1166603,1489210,735829,978975,155539,
325.5,622410,852787,1195064,1513317,729983,982712,163891,
326.5,607448,839306,1223637,1538377,724446,986643,172456,
327.5,593138,824832,1252097,1564349,719193,990722,181202,
328.5,579472,809449,1280201,1591179,714202,994901,190093,
329.5,566438,793246,1307692,1618795,709451,999124,199088,
330.5,554026,776320,1334293,1647110,704920,1003334,208140,
331.5,542224,758771,1359718,1676020,700588,1007464,217200,
332.5,531019,740703,1383669,1705401,696436,1011446,226215,
333.5,520398,722220,1405843,1735111,692448,1015204,235129,
334.5,510347,703427,1425935,1764988,688606,1018661,243882,
335.5,500851,684427,1443641,1794849,684896,1021733,252415,
336.5,491898,665317,1458669,1824492,681303,1024336,260667,
337.5,483472,646195,1470737,1853694,677815,1026383,268579,
338.5,475558,627151,1479582,1882216,674421,1027786,276089,
339.5,468143,608268,1484969,1909798,671111,1028458,283141,
340.5,461212,589625,1486690,1936166,667875,1028313,289678,
341.5,454751,571293,1484573,1961030,664708,1027271,295650,
342.5,448747,553336,1478488,1984093,661602,1025253,301007,
343.5,443184,535813,1468347,2005047,658554,1022189,305705,
344.5,438050,518772,1454111,2023582,655559,1018015,309703,
345.5,433332,502256,1435789,2039387,652617,1012676,312967,
346.5,429016,486303,1413441,2052157,649726,1006129,315466,
347.5,425090,470942,1387180,2061600,646886,998340,317175,
348.5,421543,456196,1357166,2067437,644099,989288,318074,
349.5,418361,442086,1323606,2069413,641369,978967,318146,
350.5,415532,428623,1286752,2067298,638698,967381,317384,
351.5,413047,415817,1246894,2060899,636091,954550,315781,
352.5,410893,403673,1204358,2050056,633554,940507,313338,
353.5,409060,392192,1159493,2034657,631094,925299,310063,
354.5,407537,381372,1112674,2014632,628717,908986,305967,
355.5,406314,371209,1064284,1989965,626431,891641,301069,
356.5,405380,361697,1014718,1960689,624246,873346,295392,
357.5,404726,352828,964366,1926892,622169,854196,288968,
358.5,404342,344592,913613,1888717,620211,834295,281833,
359.5,404218,336978,862829,1846355,618381,813752,274033,
360.5,404345,329977,812367,1800050,616690,792686,265617,
361.5,404713,323575,762552,1750092,615148,771216,256645,
362.5,405314,317763,713685,1696811,613765,749467,247181,
363.5,406138,312528,666034,1640573,612552,727565,237294,
364.5,407175,307859,619831,1581776,611519,705632,227062,
365.5,408417,303747,575279,1520837,610678,683792,216567,
366.5,409855,300181,532541,1458189,610039,662161,205896,
367.5,411479,297153,491748,1394275,609612,640854,195140,
368.5,413280,294655,452998,1329535,609407,619975,184394,
369.5,415249,292679,416355,1264403,609435,599624,173756,
370.5,417376,291219,381856,1199298,609704,579890,163327,
371.5,419653,290271,349510,1134619,610224,560855,153209,
372.5,422069,289832,319303,1070740,611004,542590,143508,
373.5,424616,289898,291200,1008003,612052,525154,134328,
374.5,427283,290469,265147,946720,613377,508599,125776,
375.5,430061,291544,241076,887163,614985,492966,117953,
376.5,432940,293126,218908,829567,616884,478285,110956,
377.5,435909,295216,198554,774129,619079,464577,104873,
378.5,438960,297819,179917,721008,621578,451856,99773,
379.5,442080,300940,162898,670326,624383,440126,95701,
380.5,445262,304584,147395,622169,627501,429382,92672,
381.5,448492,308761,133306,576588,630934,419616,90662,
382.5,451763,313477,120527,533606,634686,410812,89614,
383.5,455062,318743,108961,493217,638757,402948,89440,
384.5,458379,324570,98509,455392,643149,396000,90029,
385.5,461704,330969,89081,420077,647863,389939,91262,
386.5,465026,337953,80588,387206,652896,384734,93021,
387.5,468334,345535,72947,356693,658248,380352,95194,
388.5,471618,353730,66082,328443,663914,376758,97684,
389.5,474868,362551,59918,302353,669892,373916,100409,
390.5,478072,372014,54390,278311,676174,371792,103302,
391.5,481220,382135,49436,256203,682754,370350,106312,
392.5,484303,392929,44999,235913,689625,369554,109397,
393.5,487310,404411,41026,217325,696776,369370,112530,
394.5,490231,416598,37472,200324,704197,369764,115689,
395.5,493057,429504,34293,184798,711875,370705,118861,
396.5,495778,443144,31451,170639,719796,372162,122038,
397.5,498385,457532,28910,157743,727945,374103,125216,
398.5,500870,472680,26639,146010,736304,376501,128395,
399.5,503223,488600,24611,135348,744854,379327,131577,
400.5,505438,505302,22799,125668,753576,382557,134766,
