NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
248.5,3133658,3750650,3303944,2874281,3242414,3260989,142779,
249.5,3093023,3659019,3282954,2828146,3394294,3251487,139963,
250.5,3049844,3568863,3261551,2783992,3543137,3241477,149097,
251.5,3004230,3480451,3239802,2741812,3687721,3230803,167575,
252.5,2956309,3394010,3217773,2701575,3826837,3219301,191942,
253.5,2906223,3309732,3195533,2663232,3959306,3206805,219408,
254.5,2854129,3227774,3173150,2626718,4083993,3193153,248091,
255.5,2800198,3148265,3150692,2591953,4199825,3178187,276762,
256.5,2744612,3071303,3128225,2558847,4305808,3161759,304604,
257.5,2687563,2996963,3105813,2527298,4401036,3143735,331049,
258.5,2629252,2925299,3083518,2497196,4484704,3123994,355689,
259.5,2569885,2856344,3061400,2468426,4556119,3102435,378221,
260.5,2509672,2790112,3039513,2440868,4614702,3078974,398418,
261.5,2448825,2726605,3017908,2414396,4659998,3053547,416116,
262.5,2387554,2665809,2996631,2388887,4691675,3026111,431196,
263.5,2326068,2607700,2975722,2364214,4709531,2996647,443584,
264.5,2264570,2552240,2955216,2340252,4713487,2965153,453243,
265.5,2203256,2499387,2935142,2316880,4703590,2931651,460170,
266.5,2142317,2449088,2915521,2293977,4680009,2896182,464396,
267.5,2081931,2401284,2896368,2271428,4643029,2858808,465979,
268.5,2022267,2355909,2877691,2249123,4593046,2819607,465010,
269.5,1963480,2312895,2859492,2226957,4530561,2778677,461602,
270.5,1905716,2272167,2841764,2204834,4456171,2736131,455896,
271.5,1849105,2233646,2824492,2182664,4370564,2692094,448058,
272.5,1793764,2197251,2807657,2160362,4274502,2646707,438274,
273.5,1739797,2162897,2791229,2137856,4168820,2600120,426752,
274.5,1687295,2130497,2775171,2115080,4054409,2552490,413722,
275.5,1636335,2099960,2759443,2091975,3932208,2503984,399430,
276.5,1586980,2071195,2743993,2068495,3803189,2454771,384141,
277.5,1539284,2044108,2728764,2044599,3668351,2405021,368136,
278.5,1493286,2018600,2713695,2020256,3528702,2354908,351711,
279.5,1449016,1994576,2698717,1995444,3385253,2304601,335176,
280.5,1406493,1971933,2683754,1970148,3239001,2254266,318851,
281.5,1365726,1950570,2668728,1944361,3090923,2204062,303063,
282.5,1326717,1930382,2653556,1918084,2941963,2154140,288141,
283.5,1289460,1911265,2638149,1891322,2793024,2104644,274401,
284.5,1253942,1893110,2622417,1864088,2644957,2055703,262141,
285.5,1220142,1875808,2606267,1836402,2498558,2007435,251616,
286.5,1188037,1859248,2589604,1808286,2354558,1959947,243020,
287.5,1157598,1843320,2572332,1779766,2213617,1913327,236466,
288.5,1128792,1827908,2554356,1750875,2076327,1867652,231974,
289.5,1101584,1812900,2535582,1721645,1943201,1822982,229460,
