NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
124.5,502499,1272941,1185524,1410983,1596446,1193679,186215,
125.5,482153,1255333,1136342,1309468,1576082,1151876,182244,
126.5,463424,1231691,1090942,1206598,1544382,1107407,177654,
127.5,446189,1202012,1049417,1103531,1503504,1060931,172573,
128.5,430333,1166490,1011798,1001613,1455795,1013206,167221,
129.5,415750,1125484,978066,902282,1403588,965034,161848,
130.5,402351,1079500,948165,806954,1349046,917203,156687,
131.5,390058,1029155,922011,716917,1294048,870438,151926,
132.5,378808,975151,899501,633235,1240129,825365,147697,
133.5,368553,918247,880520,556690,1188465,782495,144081,
134.5,359260,859234,864947,487748,1139881,742214,141121,
135.5,350907,798917,852655,426568,1094893,704788,138843,
136.5,343485,738090,843515,373037,1053749,670375,137260,
137.5,336995,677521,837395,326820,1016480,639042,136382,
138.5,331447,617936,834162,287429,982948,610785,136206,
139.5,326862,560005,833674,254277,952888,585541,136714,
140.5,323263,504325,835785,226742,925943,563212,137863,
141.5,320683,451407,840334,204210,901703,543668,139583,
142.5,319160,401671,847149,186109,879723,526762,141778,
143.5,318734,355434,856035,171936,859551,512338,144336,
144.5,319453,312909,866778,161267,840748,500231,147135,
145.5,321368,274207,879137,153774,822904,490278,150051,
146.5,324533,239344,892840,149222,805652,482318,152964,
147.5,329008,208245,907588,147478,788684,476201,155767,
148.5,334856,180767,923050,148512,771755,471788,158362,
149.5,342143,156702,938866,152404,754696,468962,160663,
150.5,350941,135806,954650,159349,737410,467631,162593,
151.5,361321,117804,969998,169671,719877,467734,164082,
152.5,373359,102410,984492,183834,702146,469248,165067,
153.5,387131,89338,997715,202460,684329,472195,165491,
154.5,402712,78313,1009258,226348,666590,476644,165309,
155.5,420175,69076,1018737,256488,649136,482722,164500,
156.5,439586,61394,1025802,294077,632200,490612,163085,
157.5,461006,55056,1030156,340523,616034,500555,161161,
158.5,484486,49880,1031562,397426,600900,512851,158947,
159.5,510062,45712,1029856,466546,587054,527846,156851,
160.5,537751,42422,1024953,549727,574751,545921,155547,
161.5,567552,39907,1016852,648782,564231,567465,156027,
162.5,599439,38087,1005634,765326,555727,592843,159581,
163.5,633356,36904,991462,900563,549461,622349,167605,
164.5,669216,36322,974569,1055029,545648,656157,181254,
165.5,706898,36326,955254,1228313,544499,694258,201096,
166.5,746244,36922,933864,1418793,546231,736411,226956,
167.5,787057,38139,910783,1623424,551065,782093,257999,
168.5,829100,40028,886416,1837631,559236,830482,292905,
169.5,872101,42668,861178,2055359,570997,880461,330037,
170.5,915746,46169,835478,2269296,586621,930662,367554,
171.5,959692,50674,809708,2471295,606405,979555,403522,
172.5,1003562,56369,784235,2652951,630668,1025557,436027,
173.5,1046958,63487,759394,2806286,659751,1067175,463305,
174.5,1089463,72317,735484,2924447,694008,1103144,483865,
175.5,1130650,83216,712764,3002330,733799,1132552,496609,
176.5,1170090,96614,691456,3037027,779475,1154933,500916,
177.5,1207363,113026,671742,3028048,831357,1170307,496683,
178.5,1242064,133062,653769,2977282,889711,1179178,484321,
179.5,1273814,157431,637654,2888714,954718,1182466,464705,
180.5,1302271,186945,623485,2767970,1026432,1181420,439092,
181.5,1327132,222516,611326,2621731,1104747,1177490,409025,
182.5,1348147,265147,601224,2457136,1189344,1172199,376236,
183.5,1365119,315908,593206,2281230,1279655,1167024,342567,
184.5,1377914,375910,587291,2100507,1374820,1163288,309913,
185.5,1386459,446252,583485,1920594,1473662,1162090,280175,
186.5,1390743,527966,581788,1746073,1574668,1164248,255184,
