NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
132.5,543325,879233,2203225,528806,665619,964042,316090,
133.5,462816,871359,2124737,503672,640084,920534,309391,
134.5,392068,864541,1998950,481763,616834,870831,293069,
135.5,330731,858696,1835142,462724,596013,816661,269180,
136.5,278220,853749,1645197,446250,577707,760225,240431,
137.5,233788,849625,1441918,432076,561958,703873,209875,
138.5,196593,846250,1237402,419978,548767,649798,180595,
139.5,165755,843547,1041767,409763,538111,599789,155413,
140.5,140410,841434,862425,401271,529943,555097,136510,
141.5,119744,839822,703893,394365,524202,516405,124909,
142.5,103023,838615,568062,388931,520816,483889,120074,
143.5,89601,837708,454738,384871,519704,457324,120221,
144.5,78925,836989,362293,382103,520780,436218,123252,
145.5,70538,836337,288269,380554,523951,419930,127510,
146.5,64065,835628,229887,380161,529119,407772,131971,
147.5,59214,834733,184392,380865,536178,399076,136110,
148.5,55759,833521,149273,382610,545016,393236,139716,
149.5,53539,831864,122370,385342,555509,389725,142739,
150.5,52450,829636,101897,389006,567526,388103,145210,
151.5,52440,826719,86432,393542,580923,388011,147185,
152.5,53508,823007,74867,398890,595543,389163,148720,
153.5,55703,818408,66363,404980,611220,391335,149864,
154.5,59127,812843,60300,411739,627774,394357,150647,
155.5,63940,806258,56234,419086,645018,398107,151086,
156.5,70366,798615,53863,426933,662756,402507,151178,
157.5,78706,789901,53005,435186,680788,407517,150907,
158.5,89342,780127,53579,443743,698915,413141,150235,
159.5,102755,769327,55595,452499,716937,419422,149113,
160.5,119535,757555,59150,461342,734666,426450,147471,
161.5,140393,744891,64433,470159,751922,434359,145227,
162.5,166167,731429,71729,478835,768542,443340,142291,
163.5,197819,717284,81428,487258,784383,453635,138567,
164.5,236433,702582,94038,495319,799324,465539,133976,
165.5,283177,687458,110196,502914,813269,479403,128477,
166.5,339271,672056,130667,509946,826148,495618,122110,
167.5,405911,656521,156351,516330,837918,514606,115073,
168.5,484180,641000,188252,521992,848564,536798,107826,
169.5,574934,625635,227449,526871,858097,562597,101254,
170.5,678672,610564,275018,530919,866550,592345,96810,
171.5,795388,595915,331943,534105,873979,626266,96438,
172.5,924444,581807,398982,536413,880458,664421,101969,
173.5,1064452,568350,476515,537841,886076,706647,114193,
174.5,1213214,555641,564393,538403,890934,752517,132551,
175.5,1367709,543764,661791,538127,895141,801306,155672,
176.5,1524169,532794,767111,537055,898809,851988,181974,
177.5,1678226,522791,877958,535239,902054,903254,209930,
178.5,1825138,513809,991202,532743,904986,953576,238106,
179.5,1960075,505887,1103145,529639,907714,1001292,265168,
180.5,2078432,499058,1209778,526008,910338,1044723,289885,
181.5,2176147,493345,1307099,521933,912949,1082295,311175,
182.5,2249981,488765,1391446,517506,915626,1112665,328138,
183.5,2297732,485327,1459818,512818,918436,1134826,340113,
184.5,2318362,483035,1510104,507963,921432,1148179,346701,
185.5,2312026,481885,1541231,503034,924653,1152566,347783,
186.5,2280000,481872,1553182,498123,928122,1148260,343512,
187.5,2224535,482982,1546916,493323,931848,1135921,334283,
188.5,2148641,485198,1524200,488720,935821,1116516,320689,
189.5,2055844,488499,1487384,484399,940019,1091229,303464,
190.5,1949933,492855,1439165,480442,944402,1061359,283429,
191.5,1834722,498235,1382357,476926,948916,1028231,261434,
192.5,1713854,504597,1319700,473925,953495,993114,238317,
193.5,1590640,511897,1253707,471506,958058,957162,214867,
194.5,1467958,520080,1186576,469737,962511,921372,191806,
195.5,1348192,529085,1120133,468679,966753,886569,169780,
196.5,1233219,538843,1055827,468391,970674,853391,149360,
197.5,1124429,549274,994746,468926,974156,822306,131053,
198.5,1022762,560292,937657,470338,977078,793626,115296,
199.5,928774,571800,885053,472676,979319,767524,102449,
200.5,842694,583692,837203,475986,980757,744066,92739,
201.5,764496,595855,794207,480313,981274,723229,86186,
202.5,693959,608167,756033,485699,980761,704924,82535,
203.5,630723,620500,722560,492182,979115,689016,81277,
204.5,574337,632720,693610,499800,976249,675343,81766,
205.5,524294,644689,668969,508584,972087,663725,83363,
206.5,480069,656267,648408,518567,966569,653976,85537,
207.5,441136,667314,631696,529771,959655,645915,87897,
208.5,406987,677693,618606,542219,951323,639366,90182,
209.5,377143,687271,608927,555925,941571,634167,92233,
210.5,351161,695922,602458,570895,930414,630170,93968,
211.5,328636,703529,599015,587128,917890,627240,95359,
212.5,309205,709986,598430,604615,904053,625258,96421,
213.5,292547,715201,600545,623333,888974,624120,97196,
214.5,278376,719098,605210,643249,872738,623734,97748,
215.5,266446,721615,612282,664314,855445,624020,98159,
216.5,256542,722710,621617,686465,837203,624907,98521,
217.5,248481,722358,633070,709623,818129,626332,98935,
218.5,242109,720552,646485,733692,798344,628236,99501,
219.5,237294,717304,661695,758557,777974,630565,100316,
220.5,233930,712642,678515,784086,757141,633263,101467,
221.5,231928,706613,696738,810127,735969,636275,103020,
222.5,231220,699276,716133,836514,714574,639543,105021,
223.5,231751,690704,736442,863059,693070,643005,107486,
224.5,233480,680984,757375,889564,671560,646593,110403,
225.5,236380,670209,778616,915815,650140,650232,113730,
226.5,240432,658483,799817,941589,628897,653844,117401,
227.5,245627,645912,820603,966656,607909,657341,121329,
228.5,251963,632608,840580,990781,587242,660635,125412,
229.5,259442,618684,859335,1013730,566954,663629,129538,
230.5,268073,604252,876449,1035271,547093,666227,133594,
231.5,277863,589421,891500,1055184,527697,668333,137464,
232.5,288824,574298,904082,1073258,508796,669852,141041,
233.5,300963,558986,913811,1089299,490413,670694,144225,
234.5,314286,543580,920337,1103133,472563,670780,146929,
235.5,328793,528169,923359,1114609,455254,670037,149084,
236.5,344476,512838,922636,1123601,438490,668408,150637,
237.5,361320,497660,917994,1130012,422270,665851,151555,
