NTA Experiment Summary File,
237.5,1707104,1441688,1877634,387483,1353477,334255,
238.5,1662865,1401775,1839628,370729,1318749,328553,
239.5,1619058,1363165,1802566,355668,1285114,322650,
240.5,1575724,1325821,1766404,342171,1252530,316576,
241.5,1532904,1289708,1731097,330119,1220957,310359,
242.5,1490640,1254789,1696605,319407,1190360,304023,
243.5,1448974,1221025,1662883,309939,1160705,297591,
244.5,1407947,1188379,1629891,301633,1131963,291080,
245.5,1367599,1156815,1597586,294414,1104104,284507,
246.5,1327969,1126295,1565929,288217,1077102,277886,
247.5,1289091,1096781,1534881,282983,1050934,271228,
248.5,1251001,1068237,1504402,278662,1025576,264542,
249.5,1213729,1040627,1474458,275211,1001006,257837,
250.5,1177304,1013916,1445011,272592,977206,251116,
251.5,1141752,988069,1416028,270774,954156,244383,
252.5,1107094,963051,1387477,269730,931838,237642,
253.5,1073348,938831,1359325,269437,910235,230891,
254.5,1040531,915375,1331545,269878,889332,224131,
255.5,1008655,892653,1304109,271038,869114,217359,
256.5,977727,870635,1276990,272907,849565,210574,
257.5,947754,849292,1250165,275477,830672,203771,
258.5,918737,828596,1223612,278742,812422,196947,
259.5,890675,808520,1197311,282700,794802,190097,
260.5,863564,789039,1171245,287347,777799,183218,
261.5,837397,770128,1145396,292684,761401,176304,
262.5,812164,751764,1119751,298712,745598,169353,
263.5,787853,733925,1094298,305429,730376,162362,
264.5,764450,716589,1069027,312835,715725,155327,
265.5,741938,699738,1043930,320930,701634,148248,
266.5,720299,683351,1019000,329710,688090,141126,
267.5,699513,667412,994233,339170,675082,133962,
268.5,679558,651904,969626,349301,662597,126762,
269.5,660410,636810,945180,360092,650623,119533,
270.5,642046,622118,920894,371524,639145,112288,
271.5,624441,607812,896771,383575,628150,105040,
272.5,607568,593881,872815,396218,617620,97813,
273.5,591401,580312,849032,409416,607540,90634,
274.5,575913,567095,825429,423127,597891,83540,
275.5,561075,554220,802013,437300,588652,76581,
276.5,546861,541676,778794,451875,579802,69822,
277.5,533242,529457,755781,466782,571315,63349,
278.5,520189,517553,732986,481944,563168,57274,
279.5,507676,505958,710420,497271,555331,51746,
280.5,495673,494664,688096,512668,547775,46956,
281.5,484152,483666,666026,528026,540468,43125,
282.5,473086,472958,644223,543232,533375,40486,
283.5,462448,462535,622702,558164,526462,39213,
284.5,452210,452392,601474,572692,519692,39349,
285.5,442346,442525,580555,586682,513027,40775,
286.5,432828,432930,559956,599999,506429,43243,
287.5,423633,423603,539692,612505,499858,46459,
288.5,414733,414540,519775,624061,493277,50146,
289.5,406104,405739,500218,634535,486649,54074,
290.5,397723,397195,481032,643799,479937,58064,
291.5,389564,388907,462229,651732,473108,61977,
292.5,381607,380871,443819,658227,466131,65709,
293.5,373827,373084,425812,663186,458977,69179,
294.5,366205,365545,408217,666530,451624,72327,
295.5,358719,358249,391043,668194,444051,75107,
296.5,351349,351196,374296,668133,436244,77487,
297.5,344078,344381,357984,666324,428192,79444,
298.5,336886,337803,342111,662760,419890,80965,
299.5,329757,331459,326682,657459,411339,82046,
