NTA Experiment Summary File,
255.5,27745,0,1,1015,7190,6856,
256.5,28688,0,1,1107,7449,7084,
257.5,29611,0,2,1208,7705,7308,
258.5,30508,0,2,1319,7957,7523,
259.5,31371,0,2,1442,8204,7730,
260.5,32192,0,3,1577,8443,7925,
261.5,32963,0,4,1725,8673,8107,
262.5,33678,0,4,1887,8892,8274,
263.5,34328,0,5,2065,9099,8423,
264.5,34906,0,7,2258,9293,8554,
265.5,35407,0,8,2469,9471,8665,
266.5,35823,0,10,2699,9633,8753,
267.5,36149,0,12,2947,9777,8818,
268.5,36381,0,15,3216,9903,8858,
269.5,36515,0,18,3507,10010,8873,
270.5,36547,0,22,3819,10097,8862,
271.5,36476,0,27,4154,10164,8825,
272.5,36300,0,33,4513,10212,8760,
273.5,36020,0,41,4896,10239,8670,
274.5,35637,0,50,5303,10248,8554,
275.5,35153,0,61,5735,10237,8413,
276.5,34571,0,75,6191,10209,8249,
277.5,33896,0,91,6671,10165,8063,
278.5,33133,0,111,7175,10105,7857,
279.5,32287,0,134,7702,10031,7634,
280.5,31366,0,163,8250,9945,7396,
281.5,30376,0,196,8819,9848,7145,
282.5,29326,0,236,9407,9742,6885,
283.5,28224,0,284,10011,9630,6620,
284.5,27078,0,340,10629,9512,6354,
285.5,25897,0,406,11258,9390,6089,
286.5,24690,0,483,11896,9267,5830,
287.5,23466,0,573,12539,9144,5581,
288.5,22232,0,678,13183,9023,5345,
289.5,20996,0,798,13825,8905,5127,
290.5,19768,0,937,14461,8791,4930,
291.5,18553,0,1096,15086,8684,4755,
292.5,17358,0,1277,15696,8583,4607,
293.5,16190,0,1483,16287,8490,4484,
294.5,15053,0,1714,16854,8405,4387,
295.5,13953,0,1974,17392,8330,4316,
296.5,12894,0,2264,17898,8264,4267,
297.5,11878,0,2586,18366,8208,4239,
298.5,10909,0,2942,18794,8161,4227,
299.5,9988,0,3332,19177,8124,4229,
300.5,9118,0,3758,19512,8097,4240,
301.5,8298,0,4221,19795,8078,4257,
302.5,7529,0,4719,20025,8068,4277,
303.5,6811,0,5253,20198,8065,4299,
304.5,6144,0,5821,20313,8069,4318,
305.5,5525,0,6422,20369,8079,4336,
306.5,4954,0,7054,20366,8093,4350,
307.5,4429,0,7712,20302,8111,4360,
308.5,3948,0,8394,20179,8130,4367,
309.5,3510,0,9094,19997,8150,4370,
310.5,3111,0,9808,19759,8169,4372,
311.5,2750,0,10529,19465,8186,4371,
312.5,2423,0,11251,19119,8198,4370,
313.5,2130,0,11967,18723,8205,4369,
314.5,1867,0,12669,18281,8204,4368,
315.5,1632,0,13351,17797,8195,4369,
316.5,1422,0,14004,17273,8175,4370,
317.5,1236,0,14621,16716,8143,4373,
318.5,1072,0,15194,16129,8099,4376,
319.5,927,0,15716,15516,8040,4378,
320.5,799,0,16180,14882,7965,4379,
321.5,687,0,16581,14232,7875,4377,
322.5,590,0,16913,13570,7768,4370,
323.5,504,0,17172,12901,7644,4357,
324.5,431,0,17353,12228,7503,4337,
325.5,366,0,17456,11557,7345,4307,
326.5,311,0,17478,10890,7170,4268,
