NTA Experiment Summary File,
156.5,4861103,5900623,4303997,4253723,4829862,382533,
157.5,4841111,5852208,4270250,4276660,4810057,372262,
158.5,4816909,5800588,4241525,4298576,4789400,361056,
159.5,4788918,5746184,4217907,4319389,4768099,348943,
160.5,4757566,5689393,4199356,4339016,4746333,335979,
161.5,4723287,5630594,4185716,4357382,4724245,322241,
162.5,4686512,5570141,4176711,4374408,4701943,307836,
163.5,4647662,5508363,4171949,4390022,4679499,292892,
164.5,4607150,5445565,4170927,4404150,4656948,277567,
165.5,4565366,5382026,4173033,4416719,4634286,262036,
166.5,4522682,5318002,4177548,4427660,4611473,246500,
167.5,4479443,5253721,4183657,4436902,4588431,231173,
168.5,4435966,5189388,4190453,4444376,4565046,216284,
169.5,4392541,5125184,4196952,4450014,4541173,202064,
170.5,4349423,5061266,4202103,4453746,4516635,188739,
171.5,4306836,4997770,4204807,4455506,4491230,176517,
172.5,4264973,4934810,4203936,4455227,4464736,165575,
173.5,4223993,4872478,4198360,4452842,4436918,156048,
174.5,4184023,4810849,4186972,4448286,4407533,148023,
175.5,4145161,4749978,4168718,4441496,4376338,141540,
176.5,4107474,4689904,4142625,4432408,4343103,136614,
177.5,4071001,4630649,4107837,4420964,4307613,133259,
178.5,4035753,4572221,4063641,4407105,4269680,131526,
179.5,4001718,4514612,4009497,4390778,4229151,131525,
180.5,3968860,4457804,3945058,4371933,4185914,133433,
181.5,3937124,4401766,3870190,4350523,4139901,137477,
182.5,3906434,4346459,3784979,4326509,4091095,143886,
183.5,3876697,4291832,3689738,4299856,4039531,152833,
184.5,3847808,4237829,3584997,4270536,3985293,164387,
185.5,3819646,4184386,3471492,4238529,3928513,178489,
186.5,3792082,4131435,3350138,4203824,3869370,194960,
187.5,3764978,4078903,3222010,4166418,3808077,213520,
188.5,3738189,4026714,3088298,4126317,3744880,233821,
189.5,3711567,3974791,2950281,4083539,3680044,255479,
190.5,3684959,3923059,2809278,4038111,3613851,278089,
191.5,3658213,3871439,2666617,3990072,3546585,301250,
192.5,3631181,3819858,2523596,3939472,3478527,324573,
193.5,3603713,3768245,2381451,3886374,3409946,347696,
194.5,3575667,3716532,2241328,3830850,3341094,370284,
195.5,3546907,3664657,2104258,3772987,3272202,392042,
196.5,3517304,3612565,1971148,3712880,3203474,412711,
197.5,3486737,3560205,1842764,3650639,3135086,432076,
198.5,3455099,3507535,1719732,3586381,3067187,449961,
199.5,3422289,3454522,1602535,3520234,2999895,466232,
200.5,3388222,3401139,1491522,3452337,2933305,480794,
201.5,3352825,3347371,1386917,3382836,2867487,493585,
202.5,3316037,3293208,1288829,3311883,2802489,504578,
203.5,3277811,3238653,1197266,3239640,2738342,513773,
204.5,3238115,3183717,1112149,3166270,2675062,521196,
205.5,3196929,3128418,1033330,3091942,2612655,526891,
206.5,3154250,3072785,960601,3016829,2551117,530922,
207.5,3110086,3016855,893713,2941104,2490440,533363,
208.5,3064458,2960673,832382,2864938,2430613,534299,
209.5,3017399,2904290,776304,2788506,2371625,533822,
210.5,2968957,2847765,725166,2711975,2313466,532028,
211.5,2919188,2791162,678646,2635512,2256127,529016,
212.5,2868159,2734549,636429,2559279,2199604,524882,
213.5,2815945,2678002,598207,2483432,2143897,519724,
214.5,2762633,2621595,563682,2408120,2089008,513637,
215.5,2708313,2565409,532571,2333485,2034944,506711,
216.5,2653082,2509523,504609,2259660,1981719,499033,
217.5,2597045,2454019,479548,2186770,1929346,490687,
218.5,2540307,2398976,457157,2114932,1877843,481750,
219.5,2482979,2344474,437226,2044251,1827233,472295,
220.5,2425171,2290590,419562,1974824,1777537,462392,
221.5,2366996,2237400,403989,1906737,1728781,452102,
222.5,2308568,2184973,390350,1840067,1680989,441485,
223.5,2249996,2133377,378502,1774881,1634189,430596,
224.5,2191391,2082675,368319,1711235,1588405,419483,
225.5,2132861,2032924,359688,1649176,1543662,408193,
226.5,2074510,1984177,352510,1588743,1499985,396768,
227.5,2016438,1936482,346697,1529965,1457396,385246,
228.5,1958742,1889878,342174,1472864,1415915,373661,
229.5,1901514,1844403,338873,1417452,1375560,362045,
230.5,1844839,1800084,336738,1363736,1336349,350426,
231.5,1788801,1756946,335720,1311714,1298295,338832,
232.5,1733473,1715006,335777,1261379,1261409,327286,
233.5,1678927,1674276,336872,1212718,1225698,315808,
234.5,1625226,1634762,338974,1165714,1191169,304421,
235.5,1572429,1596466,342058,1120343,1157824,293141,
236.5,1520587,1559383,346100,1076579,1125662,281988,
237.5,1469748,1523504,351078,1034391,1094680,270977,
238.5,1419951,1488815,356972,993746,1064871,260127,
239.5,1371232,1455298,363761,954608,1036225,249453,
240.5,1323620,1422930,371423,916940,1008728,238974,
241.5,1277140,1391686,379934,880700,982365,228709,
242.5,1231810,1361535,389264,845848,957114,218679,
243.5,1187645,1332444,399378,812343,932952,208908,
244.5,1144654,1304378,410234,780140,909852,199421,
245.5,1102844,1277298,421781,749197,887780,190249,
246.5,1062215,1251162,433956,719471,866701,181425,
247.5,1022766,1225928,446684,690918,846574,172987,
248.5,984490,1201550,459877,663496,827353,164975,
249.5,947380,1177981,473431,637163,808989,157435,
250.5,911423,1155173,487222,611877,791424,150413,
251.5,876605,1133076,501111,587597,774597,143955,
252.5,842911,1111639,514939,564285,758443,138104,
253.5,810321,1090811,528526,541900,742890,132899,
254.5,778816,1070541,541674,520406,727859,128364,
255.5,748375,1050774,554166,499766,713270,124512,
256.5,718974,1031459,565770,479945,699037,121334,
257.5,690591,1012543,576238,460909,685070,118800,
258.5,663199,993974,585312,442625,671278,116858,
259.5,636775,975699,592732,425063,657567,115435,
260.5,611293,957669,598233,408192,643847,114440,
261.5,586726,939832,601564,391983,630026,113772,
262.5,563050,922141,602484,376409,616021,113326,
263.5,540238,904547,600778,361443,601751,112996,
264.5,518264,887005,596264,347060,587148,112689,
265.5,497103,869473,588801,333237,572153,112320,
