NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,HOT1A3_12h_A_LS 2020-09-21 10-36-33.nano,
Operator Name,EF,
Time Captured,10:36:33  21/09/2020,
Sample Description,HOT1A3_12h_A_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
180.5,9973,3780,63896,0,19412,14970,
181.5,8841,2541,67201,0,19646,15960,
182.5,7869,1666,69332,0,19717,16625,
183.5,7042,1066,70171,0,19570,16938,
184.5,6344,666,69676,0,19172,16895,
185.5,5760,407,67879,0,18511,16508,
186.5,5276,243,64890,0,17602,15809,
187.5,4880,141,60877,0,16475,14844,
188.5,4560,81,56058,0,15175,13669,
189.5,4309,45,50677,0,13758,12348,
190.5,4118,25,44984,0,12282,10944,
191.5,3982,13,39216,0,10803,9517,
192.5,3896,7,33583,0,9372,8122,
193.5,3857,4,28257,0,8029,6804,
194.5,3862,2,23367,0,6808,5594,
195.5,3910,0,18996,0,5727,4518,
196.5,4001,0,15184,0,4796,3589,
197.5,4135,0,11938,0,4018,2814,
198.5,4313,0,9235,0,3387,2198,
199.5,4538,0,7030,0,2892,1745,
200.5,4811,0,5268,0,2520,1458,
201.5,5135,0,3887,0,2256,1327,
202.5,5512,0,2825,0,2085,1322,
203.5,5947,0,2023,0,1993,1402,
204.5,6441,0,1428,0,1967,1529,
205.5,6997,0,994,1,1998,1683,
206.5,7617,0,682,2,2075,1854,
207.5,8302,0,462,3,2192,2040,
208.5,9052,0,308,4,2341,2238,
209.5,9866,0,203,6,2519,2450,
210.5,10740,0,132,8,2720,2673,
211.5,11670,0,85,13,2942,2909,
212.5,12648,0,54,19,3180,3156,
213.5,13665,0,34,29,3432,3411,
214.5,14711,0,21,43,3694,3672,
215.5,15770,0,13,66,3962,3936,
216.5,16829,0,8,99,4234,4199,
217.5,17871,0,5,149,4506,4455,
218.5,18877,0,3,223,4776,4701,
219.5,19829,0,2,333,5041,4930,
220.5,20709,0,0,494,5301,5137,
221.5,21499,0,0,726,5556,5317,
222.5,22182,0,0,1059,5810,5463,
223.5,22744,0,0,1530,6069,5570,
224.5,23173,0,0,2188,6340,5635,
225.5,23460,0,0,3094,6639,5654,
226.5,23599,0,0,4322,6980,5632,
227.5,23587,0,0,5959,7386,5580,
228.5,23426,0,0,8102,7882,5522,
229.5,23120,0,0,10855,8494,5506,
230.5,22677,0,0,14322,9250,5606,
231.5,22108,0,0,18594,10176,5918,
232.5,21424,0,0,23742,11291,6536,
233.5,20640,0,0,29793,12608,7515,
234.5,19772,0,0,36725,14124,8858,
235.5,18836,0,0,44443,15820,10523,
236.5,17848,0,0,52776,17656,12440,
237.5,16826,0,0,61471,19574,14518,
238.5,15783,0,0,70197,21495,16655,
239.5,14735,0,0,78563,23324,18737,
240.5,13694,0,0,86142,24959,20648,
241.5,12672,0,0,92506,26295,22272,
242.5,11678,0,0,97267,27236,23505,
243.5,10721,0,0,100111,27708,24266,
244.5,9806,0,0,100838,27661,24502,
245.5,8939,0,0,99381,27080,24192,
246.5,8123,0,0,95816,25985,23356,
247.5,7359,0,0,90359,24430,22045,
248.5,6650,0,0,83338,22497,20341,
249.5,5993,0,0,75163,20289,18346,
250.5,5390,0,0,66286,17919,16172,
251.5,4837,0,0,57158,15499,13933,
252.5,4334,0,0,48187,13130,11730,
253.5,3876,0,0,39719,10899,9650,
254.5,3462,0,0,32008,8867,7756,
255.5,3089,0,0,25218,7077,6091,
256.5,2753,0,0,19426,5545,4672,
257.5,2452,0,0,14632,4271,3502,
258.5,2182,0,0,10777,3240,2564,
259.5,1941,0,0,7762,2426,1837,
260.5,1726,0,0,5467,1798,1289,
261.5,1535,0,0,3767,1325,891,
262.5,1365,0,0,2538,976,612,
263.5,1214,0,0,1674,722,427,
264.5,1080,0,0,1080,540,312,
265.5,961,0,0,682,411,244,
266.5,856,0,0,421,319,205,
267.5,763,0,0,255,254,180,
268.5,680,0,0,151,208,161,
269.5,607,0,0,88,174,146,
270.5,542,0,0,50,148,132,
271.5,484,0,0,28,128,119,
272.5,433,0,0,15,112,107,
273.5,388,0,0,8,99,96,
274.5,348,0,0,4,88,87,
275.5,312,0,0,2,79,78,
276.5,280,0,0,1,70,70,
277.5,252,0,0,0,63,63,
278.5,227,0,0,0,57,57,
279.5,204,0,0,0,51,51,
280.5,184,0,0,0,46,46,
281.5,166,0,0,0,42,42,
282.5,150,0,0,0,37,37,
283.5,136,0,0,0,34,34,
284.5,123,0,0,0,31,31,
285.5,111,0,0,0,28,28,
286.5,101,0,0,0,25,25,
287.5,91,0,0,0,23,23,
288.5,83,0,0,0,21,21,
289.5,75,0,0,0,19,19,
290.5,68,0,0,0,17,17,
291.5,62,0,0,0,15,15,
292.5,56,0,0,0,14,14,
293.5,51,0,0,0,13,13,
294.5,46,0,0,0,12,12,
295.5,42,0,0,0,11,11,
296.5,38,0,0,0,10,10,
297.5,35,0,0,0,9,9,
298.5,32,0,0,0,8,8,
299.5,29,0,0,0,7,7,
300.5,26,0,0,0,7,7,
301.5,24,0,0,0,6,6,
302.5,21,0,0,0,5,5,
303.5,19,0,0,0,5,5,
304.5,18,0,0,0,4,4,
305.5,16,0,0,0,4,4,
306.5,14,0,0,0,4,4,
307.5,13,0,0,0,3,3,
308.5,12,0,0,0,3,3,
309.5,11,0,0,0,3,3,
310.5,10,0,0,0,2,2,
311.5,9,0,0,0,2,2,
312.5,8,0,0,0,2,2,
313.5,7,0,0,0,2,2,
314.5,6,0,0,0,2,2,
315.5,6,0,0,0,1,1,
316.5,5,0,0,0,1,1,
317.5,5,0,0,0,1,1,
318.5,4,0,0,0,1,1,
319.5,4,0,0,0,0,0,
320.5,3,0,0,0,0,0,
321.5,3,0,0,0,0,0,
322.5,3,0,0,0,0,0,
323.5,2,0,0,0,0,0,
324.5,2,0,0,0,0,0,
325.5,2,0,0,0,0,0,
326.5,2,0,0,0,0,0,
327.5,1,0,0,0,0,0,
328.5,1,0,0,0,0,0,
329.5,1,0,0,0,0,0,
330.5,0,0,0,0,0,0,
331.5,0,0,0,0,0,0,
332.5,0,0,0,0,0,0,
333.5,0,0,0,0,0,0,
334.5,0,0,0,0,0,0,
335.5,0,0,0,0,0,0,
336.5,0,0,0,0,0,0,
337.5,0,0,0,0,0,0,
338.5,0,0,0,0,0,0,
339.5,0,0,0,0,0,0,
340.5,0,0,0,0,0,0,
341.5,0,0,0,0,0,0,
342.5,0,0,0,0,0,0,
343.5,0,0,0,0,0,0,
344.5,0,0,0,0,0,0,
345.5,0,0,0,0,0,0,
346.5,0,0,0,0,0,0,
347.5,0,0,0,0,0,0,
348.5,0,0,0,0,0,0,
349.5,0,0,0,0,0,0,
350.5,0,0,0,0,0,0,
351.5,0,0,0,0,0,0,
352.5,0,0,0,0,0,0,
353.5,0,0,0,0,0,0,
354.5,0,0,0,0,0,0,
355.5,0,0,0,0,0,0,
356.5,0,0,0,0,0,0,
357.5,0,0,0,0,0,0,
358.5,0,0,0,0,0,0,
359.5,0,0,0,0,0,0,
360.5,0,0,0,0,0,0,
361.5,0,0,0,0,0,0,
362.5,0,0,0,0,0,0,
363.5,0,0,0,0,0,0,
364.5,0,0,0,0,0,0,
365.5,0,0,0,0,0,0,
366.5,0,0,0,0,0,0,
367.5,0,0,0,0,0,0,
368.5,0,0,0,0,0,0,
369.5,0,0,0,0,0,0,
370.5,0,0,0,0,0,0,
371.5,0,0,0,0,0,0,
372.5,0,0,0,0,0,0,
373.5,0,0,0,0,0,0,
374.5,0,0,0,0,0,0,
375.5,0,0,0,0,0,0,
376.5,0,0,0,0,0,0,
377.5,0,0,0,0,0,0,
378.5,0,0,0,0,0,0,
379.5,0,0,0,0,0,0,
380.5,0,0,0,0,0,0,
381.5,0,0,0,0,0,0,
382.5,0,0,0,0,0,0,
383.5,0,0,0,0,0,0,
384.5,0,0,0,0,0,0,
385.5,0,0,0,0,0,0,
386.5,0,0,0,0,0,0,
387.5,0,0,0,0,0,0,
388.5,0,0,0,0,0,0,
389.5,0,0,0,0,0,0,
390.5,0,0,0,0,0,0,
391.5,0,0,0,0,0,0,
392.5,0,0,0,0,0,0,
393.5,0,0,0,0,0,0,
394.5,0,0,0,0,0,0,
395.5,0,0,0,0,0,0,
396.5,0,0,0,0,0,0,
397.5,0,0,0,0,0,0,
398.5,0,0,0,0,0,0,
399.5,0,0,0,0,0,0,
400.5,0,0,0,0,0,0,
401.5,0,0,0,0,0,0,
402.5,0,0,0,0,0,0,
403.5,0,0,0,0,0,0,
404.5,0,0,0,0,0,0,
405.5,0,0,0,0,0,0,
406.5,0,0,0,0,0,0,
407.5,0,0,0,0,0,0,
408.5,0,0,0,0,0,0,
409.5,0,0,0,0,0,0,
410.5,0,0,0,0,0,0,
411.5,0,0,0,0,0,0,
412.5,0,0,0,0,0,0,
413.5,0,0,0,0,0,0,
414.5,0,0,0,0,0,0,
415.5,0,0,0,0,0,0,
416.5,0,0,0,0,0,0,
417.5,0,0,0,0,0,0,
418.5,0,0,0,0,0,0,
419.5,0,0,0,0,0,0,
420.5,0,0,0,0,0,0,
421.5,0,0,0,0,0,0,
422.5,0,0,0,0,0,0,
423.5,0,0,0,0,0,0,
424.5,0,0,0,0,0,0,
425.5,0,0,0,0,0,0,
426.5,0,0,0,0,0,0,
427.5,0,0,0,0,0,0,
428.5,0,0,0,0,0,0,
429.5,0,0,0,0,0,0,
430.5,0,0,0,0,0,0,
431.5,0,0,0,0,0,0,
432.5,0,0,0,0,0,0,
433.5,0,0,0,0,0,0,
434.5,0,0,0,0,0,0,
435.5,0,0,0,0,0,0,
436.5,0,0,0,0,0,0,
437.5,0,0,0,0,0,0,
438.5,0,0,0,0,0,0,
439.5,0,0,0,0,0,0,
440.5,0,0,0,0,0,0,
441.5,0,0,0,0,0,0,
442.5,0,0,0,0,0,0,
443.5,0,0,0,0,0,0,
444.5,0,0,0,0,0,0,
445.5,0,0,0,0,0,0,
446.5,0,0,0,0,0,0,
447.5,0,0,0,0,0,0,
448.5,0,0,0,0,0,0,
449.5,0,0,0,0,0,0,
450.5,0,0,0,0,0,0,
451.5,0,0,0,0,0,0,
452.5,0,0,0,0,0,0,
453.5,0,0,0,0,0,0,
454.5,0,0,0,0,0,0,
455.5,0,0,0,0,0,0,
